Internal ID,External ID,Date,Period,Type,Document Number,Name,Subtotal 1,Currency
423566,006Qv000006rTmnIAE,31/03/2026,Mar 2026,Invoice,INV1462,227 XXL Sport,"46,200.00 ",EUR
423567,006Qv00000QJjbzIAD,31/03/2026,Mar 2026,Invoice,INV1463,563 Rovio Entertainment Corporation,"20,000.00 ",EUR
423568,006Qv00000OUMDNIA5,31/03/2026,Mar 2026,Invoice,INV1464,566 Dodd Group Limited,"15,000.00 ",GBP
423569,006Qv000006tpeLIAQ,27/03/2026,Mar 2026,Invoice,INV1465,351 Permascand,"22,000.00 ",EUR
423570,006Qv00000GxB7uIAF,27/03/2026,Mar 2026,Invoice,INV1466,228 Universal-Investment,"43,000.00 ",EUR
423571,006Qv000006lCANIA2,27/03/2026,Mar 2026,Invoice,INV1467,344 TRESU,"19,000.00 ",EUR
423572,006Qv00000PTH79IAH,31/03/2026,Mar 2026,Invoice,INV1468,567 Hogan Lovells International LLP,"30,000.00 ",GBP
424129,006Qv00000S1F6ZIAV,30/03/2026,Mar 2026,Invoice,INV1469,525 MSC Cruises,"1,000.00 ",EUR
424230,,30/03/2026,Mar 2026,Invoice,INV1470,394 AcadeMedia Support AB,"115,000.00 ",SEK
424231,006Qv00000H3yCMIAZ,30/03/2026,Mar 2026,Invoice,INV1471,486 Power International AS,"9,000.00 ",EUR
424232,006Qv00000Dnau5IAB,30/03/2026,Mar 2026,Invoice,INV1472,458 Helios Ingredients Ltd,"15,000.00 ",GBP
424233,006Qv00000Ba4A8IAJ,30/03/2026,Mar 2026,Invoice,INV1473,473 Wihuri Group,"55,000.00 ",EUR
424234,006Qv00000DBMvOIAX,30/03/2026,Mar 2026,Invoice,INV1474,469 ScanReco,"30,000.00 ",EUR
424235,006Qv00000DO83NIAT,30/03/2026,Mar 2026,Invoice,INV1475,470 Cleary Gottlieb Steen & Hamilton LLP,"68,900.00 ",EUR
424238,006Qv000003hrnKIAQ,31/03/2026,Mar 2026,Invoice,INV1476,349 Marlow Foods Ltd(Quorn Foods),"38,000.00 ",GBP
424541,006Qv00000FMtEyIAL,31/03/2026,Mar 2026,Invoice,INV1477,457 Bibby Line Group,"32,400.00 ",GBP
424543,006Qv00000GsFNSIA3,31/03/2026,Mar 2026,Invoice,INV1479,350 Third Space,"30,000.00 ",GBP
424867,,31/03/2026,Mar 2026,Credit Memo,CM0132,271 Nimlas Group,"30,000.00 ",EUR
424978,,31/03/2026,Mar 2026,Invoice,INV1484,569 Nimlas Norway AS,"10,000.00 ",EUR
424979,,31/03/2026,Mar 2026,Invoice,INV1485,570 Nimlas Finland Oy,"10,000.00 ",EUR
424980,,31/03/2026,Mar 2026,Invoice,INV1486,571 Nimlas Sweden AB,"10,000.00 ",EUR
